ST_LEAID,SchoolYear,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,DistrictName,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Geometry,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_District,TeacherAvgYearsExp_District,TeacherAvgYearsExpInDistrict_District,TeacherInDistrict4YearsOrMore_District,Chronic_Abs_Count,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
NJ-070150,2021-2022,60.7,19.1,70.7,Audubon Public School District,66.3,68.0,64.5,61.2,55.2,69.7,49.3,0.12506364922206506,38.2,19.4,42.9,20.3,14.7,66.3,58.7,50.0,32.9,42.7,14.5,N,0.06551626591230551,0.10247787610619469,11:1,128:1,126,15.4,13.8,86.5,207,15.0,2.0,26.0,34.0,19.0,19.0,19.4,17.6,42,80,76,76,86,74,110,87,96,110,150,142,139,137,1405
NJ-070190,2021-2022,45.7,14.3,52.7,Barrington School District,43.4,47.8,54.4,27.6,55.6,47.5,NA,0.051114285714285716,34.2,<10%,39.6,81.0,NA,41.5,41.8,33.9,20.7,27.8,17.5,NA,0.03656160458452722,0.04430555555555556,9:1,109:1,61,11.4,9.7,85.7,112,21.5,2.0,20.0,30.0,19.0,29.0,16.0,16.2,24,58,55,52,54,68,57,59,55,62,0,0,0,0,544
NJ-070260,2021-2022,52.4,11.8,59.4,Bellmawr Public School District,36.1,46.5,67.8,61.1,42.9,55.7,NA,0.13714728682170543,35.8,11.7,40.0,77.8,NA,60.2,30.7,44.0,26.5,27.6,12.4,NA,0.03421947449768161,0.04169491525423729,12:1,88:1,99,11.0,9.9,68.7,158,15.9,4.0,31.0,28.0,19.0,18.0,14.5,30.2,154,120,110,105,87,118,117,114,105,118,0,0,0,0,1148
NJ-070330,2021-2022,54.7,<10%,62.6,Berlin Borough School District,40.5,44.7,50.6,60.2,59.5,67.7,NA,0.10285974499089252,43.8,<10%,50.3,100.0,NA,47.6,36.8,31.8,38.8,45.9,46.4,NA,0.030546448087431694,0.025623632385120353,11:1,167:1,74,12.9,10.4,77.0,3,0.4,30.0,69.0,0.0,0,0.0,16.3,11.4,25,86,70,88,84,77,90,99,114,93,0,0,0,0,826
NJ-070340,2021-2022,35.8,12.5,42.9,Berlin Township School District,10.0,41.7,25.9,30.0,59.4,41.4,NA,0.066657824933687,24.9,10.2,29.4,64.7,NA,21.4,23.3,13.8,18.0,40.6,13.2,NA,0.010026525198938993,0.005537459283387623,10:1,101:1,61,13.9,12.7,77.0,103,18.4,3.0,28.0,27.0,20.0,23.0,19.6,41.6,38,69,48,60,69,63,59,53,72,71,0,0,0,0,602
NJ-070390,2021-2022,35.0,<10%,39.8,Black Horse Pike Regional School District,NA,NA,NA,NA,NA,NA,34.5,0.05,17.1,<10%,18.7,11.3,35.4,NA,NA,NA,NA,NA,NA,*,0.0018022657054582905,NA,12:1,92:1,291,13.9,11.7,83.1,429,12.4,4.0,29.0,33.0,18.0,16.0,17.3,21.0,0,0,0,0,0,0,0,0,0,0,934,787,829,845,3395
NJ-070580,2021-2022,32.0,11.4,38.7,Brooklawn Public School District,34.3,50.0,32.3,12.9,30.8,33.3,NA,0.02613756613756614,27.5,13.3,32.1,20.0,NA,28.6,38.5,25.0,22.6,28.2,11.8,NA,0.011684210526315788,0.01361963190184049,10:1,97:1,30,14.5,12.6,83.3,74,26.9,4.0,21.0,28.0,15.0,31.0,21.6,52.7,15,32,23,27,36,27,32,33,40,27,0,0,0,0,292
NJ-070680,2021-2022,10.2,<10%,11.8,Camden City School District,*,*,*,*,11.2,16.5,10.5,NA,<10%,<10%,<10%,*,*,*,*,*,*,*,*,*,0,0,10:1,145:1,683,13.0,13.0,74.8,3530,67.2,5.0,6.0,10.0,11.0,69.0,13.0,51.6,1680,424,448,448,441,413,421,381,415,404,474,293,331,363,6936
NJ-070700,2021-2022,54.3,16.9,58.6,Camden County Technical School District,NA,NA,NA,NA,NA,NA,54.3,0.09,27.4,15.3,28.8,26.9,61.2,NA,NA,NA,NA,NA,NA,13.6,0.005212765957446809,NA,11:1,80:1,194,10.1,8.3,64.9,337,15.7,7.0,23.0,27.0,21.0,22.0,11.6,42.3,0,0,0,0,0,0,0,0,0,0,566,596,485,502,2149
NJ-070800,2021-2022,59.4,25.8,67.4,Cherry Hill School District,56.0,70.5,70.2,49.0,52.9,54.9,64.7,0.15335474398972287,44.5,23.0,49.5,37.8,38.5,60.5,55.5,46.9,36.2,45.6,*,85.3,0.06966172974949716,0.09163631494376005,12:1,219:1,905,14.4,13.2,80.3,1570,14.8,4.0,30.0,29.0,17.0,20.0,17.7,14.7,210,718,757,795,690,806,745,843,813,881,859,878,847,894,10736
NJ-070880,2021-2022,53.5,14.3,61.6,Clementon Elementary School District,31.1,30.2,58.5,61.9,81.4,73.1,NA,0.15770149253731341,26.7,<10%,30.8,56.3,NA,19.4,15.9,18.9,49.2,37.2,13.5,NA,0.025014836795252224,0.029683098591549294,10:1,141:1,55,12.2,10.0,76.4,120,23.8,2.0,20.0,30.0,21.0,27.0,12.8,52.7,52,47,65,57,65,65,51,61,42,55,0,0,0,0,560
NJ-070940,2021-2022,55.9,22.3,62.5,Collingswood Public School District,58.1,65.5,75.0,53.0,67.3,50.3,38.2,0.18640039447731757,36.8,12.8,41.1,31.5,55.7,60.2,42.1,44.1,32.9,32.0,*,*,0.04374751491053678,0.05763888888888889,11:1,106:1,210,12.8,10.9,75.7,380,18.6,2.0,23.0,30.0,20.0,25.0,16.0,24.6,174,151,132,145,121,117,113,168,167,183,224,197,170,167,2229
NJ-071255,2021-2022,56.7,11.3,63.3,Eastern Camden County Regional School District,NA,NA,NA,NA,NA,NA,56.7,0.12,37.8,<10%,42.8,31.3,58.1,NA,NA,NA,NA,NA,NA,*,0.004795081967213115,NA,14:1,152:1,137,16.9,14.0,90.5,448,22.4,2.0,22.0,29.0,19.0,28.0,13.4,11.6,0,0,0,0,0,0,0,0,0,0,533,480,465,499,1977
NJ-071720,2021-2022,35.3,11.1,40.9,Gibbsboro Elementary School District,18.5,42.4,20.8,28.0,40.0,50.0,NA,0.07068783068783069,19.6,<10%,22.9,88.9,NA,*,25.0,*,*,22.5,*,NA,0.01053191489361702,0,11:1,95:1,27,9.7,8.8,92.3,79,29.3,1.0,16.0,29.0,20.0,35.0,18.9,10.9,15,34,20,24,28,33,24,26,41,40,0,0,0,0,285
NJ-071770,2021-2022,36.9,<10%,43.9,Gloucester City Public School District,37.1,18.9,30.9,28.7,31.2,50.5,51.1,0.07376991150442477,18.2,<10%,21.2,23.0,23.8,35.7,*,*,19.5,14.8,13.2,N,0.014494680851063832,0.013682119205298012,13:1,109:1,173,13.1,12.9,78.2,595,29.2,2.0,22.0,25.0,20.0,32.0,18.0,56.6,233,159,138,160,146,171,155,160,147,196,176,156,145,135,2277
NJ-071780,2021-2022,39.0,10.6,45.0,Gloucester Township Public Schools,37.1,33.9,42.4,34.0,42.7,39.9,NA,0.06419033746054867,29.4,10.2,33.5,85.5,88.2,38.9,28.0,26.6,24.7,28.6,11.6,NA,0.02173776054289869,0.023624815361890695,12:1,181:1,536,13.8,13.1,79.9,915,14.8,3.0,29.0,31.0,18.0,19.0,16.1,37.7,381,670,631,649,629,657,744,681,706,728,0,0,0,0,6476
NJ-071799,2021-2022,15.0,<10%,17.0,"KIPP: Cooper Norcross, A New Jersey Nonprofit Corporation",10.8,10.7,*,16.1,17.9,22.6,13.9,0.013665594855305467,<10%,<10%,10.5,*,N,15.9,*,*,*,11.2,11.9,N,0.00409016393442623,0.003630057803468208,18:1,940:1,104,5.5,2.7,33.7,1280,68.1,0,5.0,11.0,11.0,73.0,15.4,93.9,0,120,115,137,162,173,170,189,226,211,192,185,0,0,1880
NJ-071801,2021-2022,25.8,13.3,28.9,"Camden Prep, Inc.",14.7,25.4,23.2,22.4,46.8,26.8,20.4,0.023075734157650695,12.9,13.2,12.8,*,N,16.5,20.9,*,*,14.7,*,N,0.002199367088607595,0.0025932835820895524,23:1,214:1,47,4.2,2.6,29.8,698,66.1,1.0,6.0,10.0,14.0,69.0,16.1,87.5,0,79,107,142,152,145,117,82,80,59,58,51,0,0,1072
NJ-071802,2021-2022,15.1,<10%,17.7,"Mastery Schools of Camden, Inc.",11.4,17.9,12.8,*,16.5,26.0,10.2,NA,10.0,<10%,10.9,*,N,16.4,*,11.3,*,10.8,*,N,0.0014890885750962772,0.002031523642732049,13:1,271:1,205,7.7,3.6,50.2,630,23.3,5.0,29.0,22.0,15.0,28.0,19.3,95.5,0,217,209,224,232,228,233,236,225,216,181,167,195,148,2711
NJ-071880,2021-2022,56.1,19.8,62.9,Haddon Heights School District,49.4,67.6,78.3,67.1,44.0,39.5,55.7,0.08069940476190476,42.9,17.1,47.7,27.3,40.5,61.6,54.9,63.9,47.9,45.3,*,*,0.03329341317365269,0.05565573770491804,11:1,142:1,138,13.0,9.9,74.6,85,5.5,5.0,40.0,34.0,14.0,7.0,18.3,10.6,18,69,59,73,88,73,65,75,79,78,243,200,207,234,1561
NJ-071890,2021-2022,50.5,16.1,57.7,Haddon Township School District,46.2,61.5,69.0,50.4,45.1,41.4,44.2,0.0632055063913471,47.5,12.6,54.7,44.1,81.0,60.6,47.3,55.0,45.9,43.2,26.4,N,0.05781925343811395,0.08337110481586402,12:1,136:1,164,15.1,11.1,75.0,240,12.1,5.0,34.0,28.0,17.0,16.0,18.7,9.9,66,156,163,148,132,150,131,141,165,167,157,150,157,150,2033
NJ-071900,2021-2022,75.4,35.3,83.3,Haddonfield School District,70.9,87.6,88.1,61.9,69.7,78.7,73.1,0.2508677098150783,69.8,31.2,77.4,64.0,78.6,79.4,82.5,79.0,60.3,62.4,39.1,95.5,0.1519260838663824,0.1828688524590164,12:1,194:1,220,8.7,7.3,57.2,200,7.6,3.0,36.0,34.0,16.0,11.0,14.4,1.1,69,151,197,189,192,196,213,195,226,185,226,230,217,229,2715
NJ-072540,2021-2022,63.8,28.6,74.0,Laurel Springs School District,52.4,68.0,67.9,63.6,NA,NA,NA,0.115,43.6,14.3,52.1,NA,NA,57.1,60.0,32.1,27.3,NA,NA,NA,0.085,0.085,10:1,35:1,17,16.0,12.4,76.5,38,23.3,2.0,13.0,28.0,26.0,30.0,23.3,31.8,14,18,19,29,23,22,29,22,0,0,0,0,0,0,176
NJ-072560,2021-2022,27.1,<10%,35.4,Lawnside School District,*,38.2,25.0,27.0,20.0,39.5,NA,NA,<10%,<10%,10.2,*,NA,*,26.5,10.7,*,*,*,NA,0,0,12:1,52:1,27,10.4,6.9,59.3,83,29.0,6.0,18.0,22.0,16.0,38.0,16.2,47.8,33,25,26,41,32,32,25,37,26,37,0,0,0,0,314
NJ-072670,2021-2022,17.2,<10%,20.2,Lindenwold Public School District,13.3,16.5,10.2,19.3,25.8,24.9,10.4,0.018039974210186976,<10%,<10%,<10%,*,*,17.6,*,*,*,*,*,N,0.0029345088161209067,0.004038128249566724,11:1,151:1,277,11.0,8.4,63.9,1164,42.0,1.0,15.0,20.0,17.0,47.0,14.4,78.8,210,286,237,252,244,227,235,226,251,220,231,139,153,100,3011
NJ-072890,2021-2022,41.9,13.5,49.5,Magnolia School District,35.0,25.6,37.5,35.6,70.9,34.1,NA,0.08925490196078432,16.1,<10%,19.4,66.7,NA,22.5,12.8,12.5,*,25.5,*,NA,0.00784313725490196,0.009478672985781991,10:1,133:1,40,11.4,10.1,65.0,48,12.7,5.0,32.0,32.0,16.0,15.0,16.8,34.4,27,45,47,30,39,39,29,44,53,44,0,0,0,0,397
NJ-073110,2021-2022,42.3,25.0,45.9,Merchantville School District,18.9,34.9,39.5,59.1,67.4,31.3,NA,0.07596837944664031,33.9,22.7,36.2,80.0,NA,40.5,39.5,20.5,25.0,41.9,*,NA,0.023740157480314963,0.029271844660194175,12:1,195:1,33,11.2,8.1,66.7,33,8.9,4.0,31.0,33.0,16.0,17.0,17.7,28.0,19,40,38,39,37,43,38,44,43,48,0,0,0,0,389
NJ-073420,2021-2022,56.6,15.6,62.6,Mt. Ephraim School District,40.5,46.5,60.5,68.5,48.6,66.7,NA,0.09709302325581395,32.5,<10%,36.4,86.7,NA,31.0,14.0,44.2,27.8,32.4,16.0,NA,0.030965250965250962,0.03662100456621004,10:1,108:1,42,13.7,9.8,64.3,78,20.8,3.0,23.0,31.0,19.0,25.0,14.3,26.3,57,38,34,41,43,43,43,54,37,40,0,0,0,0,430
NJ-073770,2021-2022,55.0,<10%,61.4,Oaklyn Public School District,47.1,50.0,66.7,NA,NA,NA,NA,0.06745098039215686,31.7,<10%,36.0,N,N,38.2,21.1,35.5,NA,NA,NA,NA,0.0387378640776699,0.0387378640776699,9:1,53:1,31,10.1,9.2,61.3,36,16.5,1.0,27.0,30.0,18.0,24.0,15.7,21.3,49,43,32,41,33,38,31,0,0,0,0,0,0,0,267
NJ-074060,2021-2022,30.0,<10%,36.2,Pennsauken Township Board of Education School District,33.2,28.6,28.3,24.0,39.5,31.7,24.0,0.04239596469104666,17.7,<10%,21.0,14.1,18.0,28.9,22.0,17.7,15.9,12.7,*,18.4,0.01700918964076859,0.021249999999999998,12:1,188:1,383,14.8,13.9,86.9,1109,24.6,3.0,23.0,26.0,18.0,30.0,20.2,49.5,184,319,300,327,309,323,347,346,369,381,389,360,392,353,4699
NJ-074110,2021-2022,30.4,14.4,35.1,Pine Hill School District,22.0,25.0,35.8,29.1,35.8,40.5,24.1,0.026395089285714286,14.5,<10%,15.9,13.9,21.6,19.8,19.5,15.9,*,*,11.2,*,0.003451720310765816,0.0055734767025089615,11:1,154:1,168,12.2,11.9,80.0,376,20.9,4.0,22.0,26.0,22.0,27.0,22.1,50.5,78,120,99,124,92,115,103,135,124,124,247,167,166,156,1850
NJ-074590,2021-2022,34.1,<10%,38.5,Runnemede Public School District,34.3,21.0,22.4,29.6,55.3,43.7,NA,0.049454926624737945,18.8,<10%,20.5,35.0,NA,46.3,18.5,16.5,*,22.1,*,NA,0.012615062761506275,0.01546153846153846,10:1,136:1,79,9.5,9.3,72.2,123,17.3,3.0,23.0,32.0,20.0,21.0,16.2,24.6,105,69,88,69,66,81,86,83,77,89,0,0,0,0,813
NJ-074790,2021-2022,31.6,<10%,37.6,Somerdale School District,26.1,28.1,46.9,31.4,31.1,28.8,NA,0.045257731958762884,23.6,<10%,27.0,37.5,NA,41.3,34.4,28.6,17.6,16.4,*,NA,0.013883161512027491,0.01690376569037657,10:1,88:1,45,13.9,12.7,91.1,55,13.3,4.0,31.0,32.0,18.0,16.0,16.7,35.1,28,39,49,35,46,32,49,51,60,53,0,0,0,0,442
NJ-075035,2021-2022,28.2,<10%,31.7,Sterling Regional School District,NA,NA,NA,NA,NA,NA,28.2,0.02,<10%,<10%,<10%,*,11.3,NA,NA,NA,NA,NA,NA,N,0,NA,12:1,110:1,71,13.7,11.8,83.1,94,10.5,7.0,33.0,30.0,16.0,14.0,18.0,22.1,0,0,0,0,0,0,0,0,0,0,249,202,196,235,882
NJ-075080,2021-2022,50.9,15.6,61.7,Stratford School District,48.9,50.6,45.7,39.2,49.2,65.0,NA,0.10137457044673541,32.2,<10%,39.6,70.0,NA,29.3,46.9,32.6,21.1,41.2,*,NA,0.02589437819420784,0.030885529157667388,12:1,131:1,78,12.6,12.6,78.2,112,13.0,6.0,31.0,33.0,16.0,15.0,23.6,24.2,53,80,92,98,94,81,92,82,123,125,0,0,0,0,920
NJ-075400,2021-2022,63.5,25.4,71.7,Voorhees Township School District,62.3,64.4,70.0,47.8,69.2,70.0,NA,0.16632950990615222,52.9,23.1,59.3,90.4,N,67.1,63.0,55.2,43.8,50.3,21.8,*,0.11541341653666147,0.13499687695190504,12:1,185:1,239,13.6,12.6,72.7,278,9.6,3.0,34.0,31.0,17.0,14.0,18.1,10.9,70,326,305,319,325,325,334,304,330,327,0,0,0,0,2965
NJ-075560,2021-2022,35.7,15.7,40.3,Waterford Township School District,28.3,25.2,56.5,32.8,NA,NA,NA,0.03258426966292135,23.7,12.0,26.4,NA,NA,31.3,16.1,24.1,20.2,NA,NA,NA,0.02869369369369369,0.02869369369369369,9:1,156:1,100,9.6,9.5,68.0,191,24.8,1.0,18.0,29.0,22.0,30.0,17.1,22.9,161,90,111,111,101,125,111,120,0,0,0,0,0,0,930
NJ-075820,2021-2022,33.2,<10%,40.7,Winslow Township School District,37.9,31.7,29.6,32.6,29.6,39.0,28.7,0.04749706227967098,18.4,<10%,21.2,20.5,16.7,29.9,15.6,15.6,18.3,14.7,*,N,0.009621832358674464,0.013772321428571429,10:1,169:1,464,11.1,11.0,75.2,930,20.5,5.0,22.0,29.0,20.0,24.0,21.5,42.4,223,322,363,337,361,363,381,392,371,398,410,286,264,260,4731
NJ-075900,2021-2022,31.8,21.1,33.8,Woodlynne School District,42.4,24.3,32.4,24.2,26.7,25.0,NA,0.03978540772532189,19.8,23.7,19.1,*,NA,33.3,13.5,29.7,*,15.6,*,NA,0,0,9:1,99:1,45,10.6,9.1,61.1,93,26.4,5.0,23.0,25.0,14.0,32.0,16.5,87.3,39,37,35,39,35,38,40,37,45,49,0,0,0,0,394
NJ-090170,2021-2022,89.1,*,97.5,Avalon School District,NA,NA,78.6,*,100.0,90.0,NA,NA,56.5,*,62.5,*,NA,NA,NA,64.3,*,83.3,*,NA,0.11307692307692307,0.11307692307692307,6:1,26:1,13,17.5,15.3,90.9,12,25.5,4.0,11.0,34.0,21.0,30.0,11.7,0.0,29,0,0,0,0,0,15,9,12,12,0,0,0,0,77
NJ-090710,2021-2022,43.9,22.2,52.1,Cape May City School District,40.9,40.0,42.9,52.9,NA,NA,NA,0.045441176470588235,48.5,27.8,56.3,NA,NA,63.6,66.7,14.3,41.2,NA,NA,NA,0.07279411764705883,0.07279411764705883,7:1,55:1,23,10.9,10.0,73.9,9,7.0,2.0,34.0,33.0,21.0,11.0,20.7,24.4,32,24,22,18,23,15,13,17,0,0,0,0,0,0,164
NJ-090720,2021-2022,28.4,<10%,32.7,Cape May County Technical High School District,NA,NA,NA,NA,NA,NA,28.4,0.009999999999999998,29.9,11.1,33.3,26.7,50.0,NA,NA,NA,NA,NA,NA,N,0,NA,8:1,66:1,65,13.4,10.9,76.9,217,40.0,1.0,10.0,21.0,24.0,45.0,20.6,26.0,0,0,0,0,0,0,0,0,0,0,123,144,128,132,527
NJ-091080,2021-2022,40.9,29.9,43.7,Dennis Township School District,30.6,42.3,31.4,22.6,60.4,51.0,NA,0.041901840490797544,34.1,26.9,36.0,44.4,NA,45.9,28.8,40.4,21.0,35.4,12.1,NA,0.049662576687116565,0.05887272727272728,10:1,157:1,66,11.5,10.2,77.3,110,20.3,1.0,23.0,29.0,22.0,24.0,17.7,11.9,89,75,63,64,62,54,56,65,51,49,0,0,0,0,628
NJ-092820,2021-2022,36.1,<10%,43.6,Lower Cape May Regional School District,NA,NA,NA,NA,33.2,35.5,38.1,0.07623233908948195,26.2,<10%,30.8,30.5,46.2,NA,NA,NA,NA,24.0,18.8,N,0.021116352201257862,0.030000000000000002,11:1,116:1,108,16.4,16.3,92.6,248,21.0,4.0,19.0,27.0,25.0,25.0,22.6,32.7,0,0,0,0,0,0,0,0,215,212,252,154,151,171,1155
NJ-092840,2021-2022,35.1,12.1,41.6,Lower Township Elementary School District,33.3,33.9,33.3,40.2,NA,NA,NA,0.058137535816618915,28.5,<10%,34.4,NA,NA,34.6,25.0,27.6,28.5,NA,NA,NA,0.03276108726752503,0.03276108726752503,10:1,165:1,145,12.4,12.4,80.0,199,15.9,2.0,21.0,34.0,24.0,20.0,19.4,38.5,250,175,183,173,165,189,155,195,0,0,0,0,0,0,1485
NJ-093130,2021-2022,38.3,13.8,45.5,Middle Township Public School District,25.9,39.1,43.9,37.1,37.8,39.2,40.2,0.03955082742316785,25.9,<10%,30.9,20.1,54.1,27.4,33.5,30.4,21.7,24.7,16.1,N,0.01835949764521193,0.023910614525139665,11:1,159:1,221,12.6,12.4,74.9,500,20.9,3.0,22.0,29.0,20.0,26.0,19.4,43.1,158,166,161,177,181,173,185,183,208,178,214,194,174,186,2538
NJ-093680,2021-2022,27.1,15.2,32.4,North Wildwood School District,30.8,22.2,10.5,15.8,33.3,38.1,NA,0.018333333333333333,31.5,17.6,37.8,N,NA,53.8,27.8,25.0,21.1,16.7,42.9,NA,0.02798165137614679,0.010795454545454546,5:1,46:1,35,22.5,21.1,97.1,65,37.6,5.0,14.0,20.0,21.0,40.0,24.9,38.9,18,16,20,22,13,18,19,18,19,21,0,0,0,0,184
NJ-093780,2021-2022,63.0,19.6,69.6,Ocean City School District,55.6,35.8,45.6,69.0,58.0,62.9,74.9,0.163302752293578,44.5,16.7,48.8,44.9,46.7,77.8,52.2,36.8,36.9,38.8,*,80.8,0.043172323759791124,0.08327913279132791,10:1,161:1,186,15.1,12.8,84.9,331,17.6,4.0,27.0,28.0,19.0,23.0,10.8,13.1,55,55,65,63,62,68,61,85,98,104,295,323,294,305,1933
NJ-095060,2021-2022,76.2,*,76.2,Stone Harbor School District,72.7,80.0,NA,NA,NA,NA,NA,0.1661904761904762,76.2,*,76.2,NA,NA,81.8,70.0,NA,NA,NA,NA,NA,0.1895238095238095,0.1895238095238095,8:1,30:1,11,13.0,9.4,63.6,19,20.9,1.0,21.0,25.0,23.0,30.0,0.0,0.0,0,16,17,15,22,20,0,0,0,0,0,0,0,0,90
NJ-095340,2021-2022,68.0,34.0,74.7,Upper Township School District,51.6,80.0,64.8,66.4,75.5,71.2,NA,0.21445701357466065,50.3,24.5,55.4,93.9,N,63.7,70.7,54.2,38.3,43.6,13.4,NA,0.06206583427922815,0.07050000000000001,12:1,177:1,122,10.5,10.1,74.6,126,9.2,1.0,27.0,38.0,20.0,14.0,14.5,9.1,44,149,149,166,125,146,146,155,166,167,0,0,0,0,1413
NJ-095610,2021-2022,76.3,*,78.1,West Cape May School District,64.3,*,*,*,NA,NA,NA,NA,63.2,*,68.8,NA,NA,42.9,*,70.0,*,NA,NA,NA,0.08333333333333333,0.08333333333333333,7:1,43:1,12,9.3,6.3,66.7,8,10.0,4.0,24.0,36.0,20.0,16.0,14.1,16.5,5,17,10,12,14,8,10,9,0,0,0,0,0,0,85
NJ-095790,2021-2022,11.7,<10%,13.4,Wildwood City School District,10.2,11.3,18.0,*,*,*,17.3,NA,12.4,<10%,14.4,16.4,*,16.7,*,*,*,18.2,12.3,N,0.002663551401869159,0,9:1,95:1,91,11.8,11.8,84.6,223,28.3,2.0,20.0,22.0,19.0,37.0,20.9,90.1,77,54,57,58,59,56,52,63,64,48,77,61,66,59,851
NJ-095800,2021-2022,52.4,25.0,62.6,Wildwood Crest Borough School District,38.7,65.4,50.0,61.5,37.5,70.6,NA,0.06321917808219178,44.9,22.5,53.3,75.0,NA,54.8,38.5,45.5,30.8,41.7,*,NA,0.06439716312056738,0.0703875968992248,7:1,79:1,36,15.7,13.6,83.3,53,25.2,2.0,14.0,22.0,28.0,34.0,21.9,25.3,30,17,24,18,31,26,23,26,25,17,0,0,0,0,237
NJ-095840,2021-2022,37.3,16.3,50.6,Woodbine School District,*,41.7,52.4,11.1,61.1,66.7,NA,NA,10.9,<10%,13.9,N,NA,*,12.0,*,*,11.1,26.3,NA,0,0,7:1,114:1,33,10.5,7.6,66.7,66,36.7,0,8.0,28.0,22.0,43.0,29.4,79.4,47,22,19,13,25,25,22,20,17,18,0,0,0,0,228
NJ-110540,2021-2022,11.7,<10%,12.8,Bridgeton City School District,*,10.8,11.5,11.3,15.1,15.8,*,NA,<10%,<10%,<10%,*,*,12.9,*,*,*,*,*,N,0.001272489368662087,0.0017811355311355313,12:1,191:1,511,12.1,10.0,60.5,1423,26.0,3.0,27.0,25.0,16.0,29.0,8.5,0.2,615,379,415,420,403,441,426,465,477,463,620,339,308,342,6113
NJ-110950,2021-2022,16.9,<10%,21.4,Commercial Township School District,12.5,14.3,25.0,11.6,18.5,14.6,NA,0.004029850746268657,10.0,<10%,12.2,*,NA,15.0,11.9,10.4,*,*,*,NA,0,0,11:1,149:1,39,14.1,13.8,84.6,94,23.7,1.0,9.0,35.0,21.0,33.0,18.6,69.1,55,32,41,41,44,43,49,44,55,43,0,0,0,0,447
NJ-110995,2021-2022,74.0,*,74.6,Cumberland County Board of Vocational Education,NA,NA,NA,NA,NA,NA,74.0,0.15,33.2,*,33.6,33.1,34.1,NA,NA,NA,NA,NA,NA,29.2,0,NA,12:1,146:1,86,8.8,4.9,51.8,84,8.5,7.0,32.0,33.0,17.0,11.0,6.7,23.4,0,0,0,0,0,0,0,0,0,0,298,260,236,230,1024
NJ-110997,2021-2022,21.0,<10%,26.8,Cumberland Regional School District,NA,NA,NA,NA,NA,NA,20.5,0.01,<10%,<10%,10.0,*,17.6,NA,NA,NA,NA,NA,NA,N,0,NA,13:1,99:1,82,12.9,9.3,73.2,200,18.1,3.0,29.0,28.0,16.0,24.0,18.3,40.6,0,0,0,0,0,0,0,0,0,0,327,253,241,263,1084
NJ-111020,2021-2022,23.2,<10%,28.5,Deerfield Township School District,22.2,34.6,*,16.7,17.9,37.1,NA,NA,17.6,<10%,21.9,*,NA,28.6,18.5,*,11.1,14.3,*,NA,0.017371428571428572,0.020540540540540542,9:1,97:1,31,13.5,9.7,67.7,43,16.7,2.0,30.0,30.0,17.0,20.0,18.9,43.3,33,25,26,24,27,27,29,36,28,36,0,0,0,0,291
NJ-111120,2021-2022,15.0,<10%,20.8,Downe Township School District,15.8,*,14.3,*,23.5,13.3,NA,NA,10.0,<10%,13.2,N,NA,10.5,*,14.3,*,11.8,13.3,NA,0,0,9:1,158:1,18,6.4,4.8,50.0,24,18.2,3.0,30.0,27.0,17.0,22.0,27.8,31.6,24,13,17,16,18,8,14,14,16,17,0,0,0,0,157
NJ-111460,2021-2022,12.8,<10%,14.2,Fairfield Township School District,*,12.5,22.2,17.9,*,*,NA,NA,<10%,<10%,<10%,N,NA,*,*,*,*,*,*,NA,0,0,10:1,79:1,49,12.6,10.3,85.7,83,21.0,3.0,28.0,30.0,15.0,23.0,11.1,21.2,72,36,37,43,41,46,47,56,47,51,0,0,0,0,476
NJ-111820,2021-2022,58.5,*,70.6,Greenwich Township School District,*,*,*,*,*,*,NA,NA,34.1,*,41.2,*,NA,*,*,*,*,*,*,NA,NA,NA,15:1,75:1,5,21.6,20.2,100.0,8,12.9,0,35.0,35.0,13.0,16.0,13.3,48.0,12,5,7,6,9,7,8,6,8,6,0,0,0,0,74
NJ-112270,2021-2022,37.0,<10%,43.0,Hopewell Township School District,38.8,30.0,26.9,43.1,37.3,36.8,NA,0.035736677115987464,34.4,<10%,39.5,81.3,NA,35.4,14.6,32.7,35.3,35.6,26.4,NA,0.01196875,0.015258964143426295,12:1,124:1,41,14.0,11.0,70.7,51,11.5,2.0,33.0,35.0,13.0,16.0,16.4,29.1,45,33,33,61,49,41,52,52,58,70,0,0,0,0,494
